@relation function

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class numeric 

@data
-25,-22,-2,560
2,21,9,-3
7,20,-27,275
19,26,-4,514
-7,-28,-28,336
-21,2,11,-97
-10,-5,-25,175
-23,12,-3,-261
-3,-17,-16,131
20,-5,-11,-45
-27,27,6,-759
-6,-16,13,31
10,25,-23,365
19,-4,25,-201
-7,-24,-3,183
-15,-20,6,270
16,-4,-2,-54
-25,-17,18,335
-17,-27,-3,474
-13,-19,-26,377
-24,7,22,-278
29,-27,-14,-713
25,22,17,465
-20,29,17,-665
-10,-7,-3,85
29,21,5,584
18,-29,24,-642
-22,-16,24,232
-20,16,20,-420
3,-21,-23,52
13,-13,7,-204
13,4,8,12
16,26,-18,506
26,29,-11,809
-10,14,25,-265
9,-5,-10,5
9,-24,-27,-81
11,12,21,27
-1,19,17,-104
7,-8,12,-116
-15,9,4,-155
10,-4,23,-155
-4,-9,14,-34
-25,-1,6,-5
-16,25,13,-465
3,-23,14,-139
-18,-23,21,309
-4,11,15,-119
7,-13,-1,-86
-8,-23,-23,299
-13,15,6,-225
-26,16,17,-501
-9,21,-8,-149
29,-14,2,-416
-12,-14,2,158
10,-11,-3,-95
17,-8,-29,9
-12,-22,8,224
-5,-17,13,20
1,19,17,-66
-18,19,6,-372
12,-7,-28,56
24,9,-24,336
0,-6,24,-120
-2,-26,3,37
-28,17,16,-556
5,-29,1,-150
-21,-28,20,488
14,18,-10,302
-27,-26,13,637
0,27,-12,60
24,-20,-27,-345
8,3,27,-111
-29,19,-15,-476
-25,5,15,-200
-8,9,-9,-27
-9,15,-14,-65
-29,-8,18,142
-12,14,-4,-148
2,15,14,-40
13,-3,-24,81
-5,19,10,-145
-6,-24,26,14
6,2,-5,37
-27,22,-19,-499
5,11,-7,90
4,-16,-22,46
-16,-18,-11,343
13,-29,10,-427
25,15,9,330
17,-27,0,-459
15,23,17,260
-7,17,-1,-114
-25,3,-1,-70
-18,26,20,-568
-17,-7,22,9
18,-4,-25,53
-4,28,-25,13
8,-23,-24,-64
6,17,4,82
29,24,2,686
-17,11,18,-277
23,0,-7,35
23,-12,-8,-236
-7,23,-11,-106
15,0,23,-115
-10,-19,0,190
26,-10,-10,-210
6,6,25,-89
9,-11,-18,-9
-7,-5,-17,120
-1,25,-12,35
22,2,0,44
-11,-4,-6,74
-2,21,0,-42
28,-19,-2,-522
21,18,-25,503
-22,-19,-22,528
-8,-22,15,101
8,14,11,57
-24,25,6,-630
-26,28,6,-758
20,-13,11,-315
-17,3,-12,9
-10,19,-3,-175
-18,-8,-18,234
26,8,7,173
14,-1,-2,-4
21,14,8,254
0,-7,-8,40
-26,3,7,-113
-9,-22,-18,288
-9,15,0,-135
10,17,18,80
-10,-27,-2,280
7,2,21,-91
6,-24,-5,-119
0,25,-1,5
-7,-22,-27,289
20,-11,-21,-115
-15,-2,8,-10
-3,-21,-23,178
-9,-22,-5,223
20,11,2,210
6,28,18,78
-25,-12,24,180
-1,1,-8,39
-16,5,-8,-40
-12,-20,6,210
-20,-23,9,415
10,2,21,-85
10,7,3,55
28,-5,-20,-40
12,6,1,67
12,18,1,211
25,-27,11,-730
-6,12,-11,-17
27,-13,-20,-251
-1,-12,-20,112
12,10,-7,155
6,-3,22,-128
23,-5,16,-195
-16,-16,-14,326
0,25,19,-95
17,0,-20,100
0,6,9,-45
-16,-10,8,120
-3,22,22,-176
-4,-21,14,14
-27,18,-19,-391
-28,29,15,-887
28,14,-7,427
-9,16,-20,-44
-5,-4,4,0
-23,-26,24,478
0,-21,-29,145
-6,13,15,-153
15,14,28,70
27,-14,-23,-263
3,20,-18,150
20,-9,1,-185
-5,-12,25,-65
28,13,18,274
0,11,-16,80
14,-29,5,-431
27,-3,-24,39
0,-1,19,-95
27,-18,4,-506
19,14,7,231
-25,-4,-4,120
-19,0,-14,70
-4,24,-16,-16
-13,6,-29,67
-23,-8,-20,284
-12,-6,10,22
-26,2,-7,-17
-14,-17,1,233
17,-9,11,-208
0,19,11,-55
-13,-20,22,150
-19,-19,-28,501
-18,14,26,-382
-18,19,14,-412
-19,-8,-28,292
-24,-11,16,184
-12,-8,25,-29
-11,17,-27,-52
-7,13,20,-191
12,-4,-19,47
13,-7,-7,-56
-19,24,-10,-406
-10,-3,-26,160
18,-2,-18,54
-16,-21,9,291
-10,-26,17,175
-24,26,16,-704
1,24,29,-121
23,4,-2,102
-10,6,-9,-15
24,-28,23,-787
24,-18,18,-522
4,14,-26,186
-9,22,8,-238
-11,-23,25,128
-1,-19,0,19
24,-23,-6,-522
19,-27,19,-608
